Wall time,Step,Value
1707175151.855074,145643,-2.119999885559082
1707175182.117037,145658,9.479999542236328
1707175182.118113,145660,10.0
1707175182.118652,145662,-2.0
1707175182.119104,145668,9.829999923706055
1707175182.119854,145675,9.800000190734863
1707175182.120383,145701,-1.0
1707175212.138471,145727,-1.0
1707175212.139213,145753,-1.0
1707175242.478432,145779,-1.0
1707175242.479165,145805,-1.0
1707175242.479664,145815,9.670000076293945
1707175242.48016,145817,10.0
1707175272.567866,145830,9.530000686645508
1707175272.568398,145839,-2.2799999713897705
1707175272.568991,145865,-1.0
1707175302.79229,145884,-2.680000066757202
1707175302.793017,145893,-2.2799999713897705
1707175302.793637,145911,-2.6700000762939453
1707175332.87479,145937,-1.0
1707175332.875534,145945,-2.240000009536743
1707175332.876039,145947,9.970000267028809
1707175332.876642,145953,9.819999694824219
1707175363.23006,145979,-2.9700000286102295
1707175363.230821,145983,-2.0899999141693115
1707175363.231297,145987,-2.0799999237060547
1707175363.231916,145998,9.640000343322754
1707175363.232494,146000,10.0
1707175363.233067,146006,-2.190000057220459
1707175393.925703,146032,-1.0
1707175393.926438,146043,-2.379999876022339
1707175424.121944,146069,-1.0
1707175424.123385,146095,-1.0
1707175454.133992,146121,-1.0
1707175454.134602,146147,-1.0
1707175484.948823,146173,-1.0
1707175484.949484,146199,-1.0
1707175515.473458,146225,-1.0
1707175515.474242,146251,-1.0
1707175545.674588,146277,-1.0
1707175545.67517,146303,-1.0
1707175545.675673,146305,10.0
1707175576.048147,146331,-1.0
1707175576.048775,146357,-1.0
1707175576.049261,146383,-1.0
1707175606.644118,146409,-1.0
1707175606.644846,146411,10.0
1707175606.645377,146423,9.600000381469727
1707175636.737724,146449,-1.0
1707175636.738313,146475,-1.0
1707175636.738788,146495,9.269999504089355
1707175667.11292,146521,-1.0
1707175667.113804,146547,-1.0
1707175697.491167,146573,-1.0
1707175697.491766,146599,-1.0
1707175727.786618,146625,-1.0
1707175727.787297,146627,10.0
1707175727.787784,146629,-2.009999990463257
1707175727.78826,146655,-1.0
1707175757.9874,146681,-1.0
1707175757.988268,146703,-2.809999942779541
1707175788.117354,146729,-1.0
1707175788.118134,146755,-1.0
1707175818.610955,146781,-1.0
1707175818.611585,146807,-1.0
1707175849.060327,146833,-1.0
1707175849.060846,146859,-1.0
1707175849.061502,146885,-1.0
1707175879.185429,146911,-1.0
1707175879.186786,146937,-1.0
1707175909.484606,146963,-1.0
1707175909.485167,146979,-2.559999942779541
1707175939.722566,147005,-1.0
1707175939.723348,147013,-2.240000009536743
1707175939.723849,147015,-2.0
1707175939.72432,147021,-2.190000057220459
1707175970.351687,147047,-1.0
1707175970.352685,147050,-2.069999933242798
1707175970.353753,147052,-2.0
1707175970.354926,147055,-2.049999952316284
1707175970.356212,147058,-2.059999942779541
1707175970.356806,147060,-2.0
1707175970.357803,147067,-2.200000047683716
1707176000.675745,147075,9.760000228881836
1707176000.676559,147086,-2.3899998664855957
1707176000.677087,147099,-2.440000057220459
1707176000.677631,147103,-2.0799999237060547
1707176030.978059,147123,-2.7200000286102295
1707176030.97906,147149,-1.0
1707176030.979773,147153,-2.0799999237060547
1707176061.213658,147162,-2.2899999618530273
1707176061.214143,147165,-2.059999942779541
1707176061.214721,147171,-2.1600000858306885
1707176061.215231,147197,-1.0
1707176091.465552,147223,-1.0
1707176091.466271,147249,-1.0
1707176122.175807,147275,-1.0
1707176122.176374,147301,-1.0
1707176152.855363,147327,-1.0
1707176152.856129,147353,-1.0
1707176183.393856,147379,-1.0
1707176183.394385,147405,-1.0
1707176213.740328,147431,-1.0
1707176213.741013,147435,-2.0799999237060547
1707176213.741559,147437,10.0
1707176213.742042,147463,-1.0
1707176243.792171,147489,-1.0
1707176243.79282,147515,-1.0
1707176243.793302,147527,-2.430000066757202
1707176274.546631,147551,-2.879999876022339
1707176274.547714,147577,-1.0
1707176305.848019,147589,-2.4200000762939453
1707176305.848661,147594,-2.1499998569488525
1707176305.849508,147620,-1.0
1707176305.850214,147625,-2.119999885559082
1707176336.22122,147630,-2.1499998569488525
1707176336.221918,147632,10.0
1707176336.222405,147634,10.0
1707176336.222868,147647,9.550000190734863
1707176336.223378,147673,-1.0
1707176368.966987,147698,-2.950000047683716
1707176368.967688,147710,-2.4000000953674316
1707176368.968233,147715,-2.1499998569488525
1707176368.968715,147724,-2.309999942779541
1707176399.261837,147750,-1.0
1707176399.262522,147776,-1.0
1707176399.263018,147778,10.0
1707176429.616521,147795,-2.5999999046325684
1707176429.617938,147821,-1.0
1707176429.619328,147827,-2.1600000858306885
1707176459.824926,147833,-2.1600000858306885
1707176459.825568,147835,-2.0
1707176459.826098,147861,-1.0
1707176490.767211,147887,-1.0
1707176490.767938,147913,-1.0
1707176490.768413,147927,-2.5
1707176521.299677,147929,10.0
1707176521.300257,147947,9.359999656677246
1707176521.300784,147949,10.0
1707176521.301377,147975,-1.0
1707176551.546003,148001,-1.0
1707176551.546783,148027,-1.0
1707176581.810532,148053,-1.0
1707176581.811806,148079,-1.0
1707176611.94564,148105,-1.0
1707176611.947477,148131,-1.0
1707176642.190574,148157,-1.0
1707176642.191124,148183,-1.0
1707176642.191665,148209,-1.0
1707176672.237992,148235,-1.0
1707176672.239644,148261,-1.0
1707176702.436858,148275,-2.509999990463257
1707176702.43737,148300,-2.930000066757202
1707176732.48925,148326,-1.0
1707176732.490828,148352,-1.0
1707176732.492163,148378,-1.0
1707176762.768425,148380,10.0
1707176762.768955,148395,-2.5299999713897705
1707176762.769624,148421,-1.0
1707176792.925932,148447,-1.0
1707176792.926659,148473,-1.0
1707176825.344007,148492,9.309999465942383
1707176825.344525,148512,-2.7200000286102295
1707176825.345068,148514,10.0
1707176825.345658,148520,9.819999694824219
1707176825.346189,148522,9.989999771118164
1707176825.34664,148524,10.0
1707176825.347211,148526,10.0
1707176825.347685,148549,-2.8399999141693115
1707176855.566365,148575,-1.0
1707176855.567385,148595,9.269999504089355
1707176855.568023,148603,9.760000228881836
1707176885.808705,148625,-2.809999942779541
1707176885.809468,148630,-2.119999885559082
1707176885.809961,148640,-2.3299999237060547
1707176916.416011,148655,9.479999542236328
1707176916.417029,148681,-1.0
1707176916.417813,148683,-2.0
1707176948.156933,148709,-1.0
1707176948.157685,148735,-1.0
1707176948.158217,148741,-2.180000066757202
1707176948.158682,148743,10.0
1707176948.159236,148753,-2.3499999046325684
1707176978.202257,148771,-2.6500000953674316
1707176978.202994,148783,-2.430000066757202
1707176978.203472,148795,-2.4000000953674316
1707177008.576049,148821,-1.0
1707177008.576806,148847,-1.0
1707177039.13341,148873,-1.0
1707177039.13416,148899,-1.0
1707177072.220255,148925,-1.0
1707177072.221034,148934,9.699999809265137
1707177072.221487,148943,-2.2799999713897705
1707177072.22193,148945,-2.0
1707177072.22246,148954,-2.299999952316284
1707177102.435011,148963,-2.2799999713897705
1707177102.435735,148987,9.119999885559082
1707177102.436194,148998,9.610000610351562
1707177132.80115,149024,-1.0
1707177132.801692,149038,-2.5
1707177162.961331,149064,-1.0
1707177162.962213,149066,10.0
1707177162.962686,149068,10.0
1707177162.9632,149070,10.0
1707177162.963648,149072,10.0
1707177162.964097,149074,10.0
1707177162.964589,149080,-2.180000066757202
1707177162.96503,149082,-2.0
1707177162.965521,149084,-2.0
1707177162.965952,149092,-2.259999990463257
1707177162.966482,149099,-2.200000047683716
1707177195.409286,149110,9.640000343322754
1707177195.410118,149127,-2.5999999046325684
1707177195.410646,149129,-2.0
1707177195.411148,149153,-2.8899998664855957
1707177226.062345,149179,-1.0
1707177226.063014,149205,-1.0
1707177256.395856,149218,-2.440000057220459
1707177256.396611,149244,-1.0
1707177286.682556,149270,-1.0
1707177286.683689,149296,-1.0
1707177317.870695,149322,-1.0
1707177317.871233,149332,-2.319999933242798
1707177317.871728,149343,-2.359999895095825
1707177317.872285,149353,-2.3299999237060547
1707177317.872726,149365,-2.4000000953674316
1707177348.418242,149391,-1.0
1707177348.418969,149417,-1.0
1707177378.519001,149443,-1.0
1707177378.52003,149467,-2.8899998664855957
1707177408.836559,149477,-2.3299999237060547
1707177408.83737,149479,10.0
1707177408.837962,149481,9.979999542236328
1707177408.838539,149491,-2.319999933242798
1707177408.839081,149509,-2.6700000762939453
1707177408.839649,149511,-2.0
1707177439.179163,149517,-2.1700000762939453
1707177439.179894,149543,-1.0
1707177439.18034,149554,-2.369999885559082
1707177471.806057,149567,-2.440000057220459
1707177471.806603,149593,-1.0
1707177471.807245,149598,-2.119999885559082
1707177471.807763,149603,-2.129999876022339
1707177471.808273,149611,-2.240000009536743
1707177501.959242,149617,-2.1600000858306885
1707177501.95998,149619,-2.0
1707177501.96042,149636,-2.5999999046325684
1707177501.960861,149638,-2.0
1707177501.961377,149648,-2.3399999141693115
1707177532.544379,149659,-2.3899998664855957
1707177532.544878,149665,-2.190000057220459
1707177532.545503,149667,9.979999542236328
1707177532.545944,149693,-1.0
1707177563.25907,149719,-1.0
1707177563.259795,149745,-1.0
1707177593.910303,149771,-1.0
1707177593.910872,149775,9.920000076293945
1707177593.911341,149801,-1.0
