steps,reward
255657,-11.917232035799843,100
255651,9.877329993776236,7
256663,-29.10021298441359,100
256682,-42.653551203598305,100
257331,6.771979354738706,48
257661,-6.540332982426882,100
258098,-18.415891538409145,100
258780,2.484905242700396,90
258839,-34.0404549624687,100
258315,-9.134421017728975,100
259065,-23.537200326035542,100
260160,-5.045357146262699,100
262044,-9.000038690696833,100
263735,-10.91345850224051,100
264211,8.756883946246148,19
264752,0.235465048517284,82
265008,10.0,1
264143,-33.59918012382343,100
265765,-5.86315508114938,100
265854,-25.768219680974326,100
266771,-10.59026480741156,100
267029,4.657654205874697,47
267251,-22.78713138681284,100
267225,-10.925396430933429,100
267499,-13.835487972059001,100
268554,-14.167917882727394,100
270097,-20.40155286058146,100
271915,-42.57266109721917,100
273020,8.917015075442649,21
272194,-13.816592432047285,100
273257,9.992546936722253,1
273329,10.0,1
274136,-25.735759154843432,100
274155,-6.493870505821792,100
274387,-7.02516788811327,100
275427,-10.932696014982241,100
275570,-24.583923646947362,100
275479,-11.366299596763008,100
275667,10.0,1
277953,-17.179244964106683,100
277104,-7.485308933219268,100
280480,-9.607727850751566,100
280991,-10.262858414011067,100
280202,-11.23904300119986,100
281795,-4.360916309472822,99
281874,-8.311703387146135,100
282113,5.664463154786093,56
282458,-38.77746681720015,100
282906,-9.992615664060489,100
283097,8.193689294881446,35
283583,10.0,1
283783,-14.570824803594745,100
284705,-9.576603678330043,100
285332,-33.41496995669466,100
287002,-10.929904974705405,100
289463,-22.078866151648317,100
289711,-9.475701182697296,100
288736,-10.49443339687304,100
289946,-11.303549357637701,100
290202,9.485667211838647,11
290332,-7.5493279208482535,100
290821,-3.71854656969399,100
291387,-6.3916435434998045,100
291822,-5.4649192620166644,100
292156,6.3134432641207345,92
291627,-24.472594396088653,100
292640,-28.80215407001563,100
293787,-14.275744803488191,100
295205,-28.20942616370622,100
297830,-9.310951978753467,100
298047,-8.468843134798727,100
298239,-40.19251334308886,100
297235,1.5855155305382898,52
298726,-12.506365978450194,100
298771,-11.760976516590317,100
299264,-12.577874190148764,100
299817,-10.038317080472162,100
300407,-25.62261746115849,100
300886,-40.024450519290426,100
300562,-42.98432272145269,100
301113,9.855715044394705,8
302087,-7.479628074414072,100
303505,-2.2827376068755587,100
306357,-29.39348472665829,100
306376,10.0,1
305439,-17.994019906756893,100
306642,-17.60717676842329,100
307003,-42.42925022425768,100
307184,-41.81819690170053,100
307682,-38.74834231056349,100
307760,-22.179898092546317,100
309332,-11.234579366942487,100
309401,-12.08128841772805,100
308525,6.374947194357031,23
309955,-41.897401493865026,100
311560,-8.761436840379865,100
310734,-6.656042960795101,100
314201,8.105637805457038,16
314295,-13.126840304247352,100
314409,-26.534084259236277,100
313768,-42.76916577553724,100
315055,-3.3175184208045048,100
315208,-4.832957420752039,100
315802,10.0,1
316734,-27.68903487726501,100
317707,-10.03969475666195,100
317767,-7.08027984863409,100
317079,-11.787759232215018,100
318774,-6.037503231949113,100
320149,-19.184769418529676,100
319408,-21.383610776947236,100
322425,-10.481465774136002,100
322599,9.52834058898536,4
322809,-14.661434813118165,100
323243,-21.118808732268768,100
323268,9.72186077886043,13
322661,-25.111755259402337,100
323967,-10.002708773899402,100
325327,-4.797838874442339,100
326341,-10.572945126440068,100
326808,9.985246881820407,2
325685,-7.663082341661298,100
327660,-7.759257497178755,100
329158,-14.211932127326705,100
328154,-42.05230718147517,100
330609,-9.99583389047595,100
330767,-14.075823092388376,100
330856,-5.607876917095316,100
331629,-7.372663625416887,100
330964,8.231244573689212,61
332120,-2.8512013997606824,100
332768,-9.542756308418095,100
333621,-6.8333058784333245,100
334194,-6.730741670687726,100
334778,10.0,1
334262,-13.006925115458719,100
335745,-34.69554858849058,100
337270,-11.362510876630028,100
336992,9.996273447880524,1
338739,-17.24868944669146,100
339435,-23.835132116188447,100
339556,-42.32341617889501,100
339697,-8.780152135475292,100
339135,10.0,1
340517,-31.563581437833125,100
340827,-7.865212624430663,100
342389,-9.726380848713132,100
342616,-34.60768602783138,100
342055,-14.287891281903258,100
343694,-9.643698935944,100
345071,-17.2520452737598,100
344110,9.434473753468193,15
345717,-34.33595073428176,100
347631,-38.42287033330881,100
347695,-11.554290362631114,100
348053,-42.87959833226345,100
348039,-37.279641674532975,100
347547,-5.90327520388406,100
349415,9.996620401359973,1
349595,-7.62019989720428,100
350809,-33.28438207584372,100
351261,-42.84812770249664,100
350326,-19.329233677462454,100
351679,-38.80021704575886,100
353295,-41.88351018780408,100
352201,-8.349935200222053,100
353840,-10.196221778785565,100
355601,-28.480254881783907,100
356274,-12.713987806198622,100
356580,-3.9653573983180954,100
356679,-11.592620883079256,100
356197,10.0,1
357725,-8.928693198482842,100
357907,9.733500933140366,16
359330,-34.82118302368617,100
358521,-3.2204485526269786,100
359792,10.0,1
359946,-11.039481108986916,100
360705,-8.264850998151068,100
360615,-6.191326990685738,100
361647,9.725560043145785,14
363230,-10.684949951796149,100
364431,-34.13026997217284,100
365038,-6.921591763609002,100
365081,-12.2698201761924,100
366150,8.077586038491214,16
366474,-38.51278653419899,100
365219,-37.23760979829343,100
365997,-31.163028128241145,100
368046,-14.411534035234455,100
368358,-11.034729464073811,100
368846,-14.001182102047155,100
369222,-6.5937870060851695,100
368884,8.664106371762648,9
369389,8.543264054902151,32
371369,-7.3742111310754375,100
373199,-14.31960953798222,100
373888,-14.647398683006614,100
374224,9.904541595959472,6
374530,-8.85869348185605,100
373393,10.0,1
375188,-6.4202673549966836,100
374312,-18.30021014720773,100
376081,-10.97559235793076,100
376388,9.963285543859289,3
377063,-15.727511322319991,100
376402,8.17430562007164,41
377933,-31.254095388153118,100
378041,-14.273814208350535,100
379502,-42.670946803969144,100
380932,-11.001830920669127,100
382463,-10.417669446640613,100
382536,-16.841047294647332,100
382658,-41.44002561190782,100
381531,9.338209127249716,4
383440,-21.353171017053196,100
384544,-8.713830742779889,100
383314,-3.041271181836624,100
384657,-11.657574246347142,100
385263,-5.513826368239516,100
384781,-16.18001840510351,100
386457,-42.900315439003776,100
385797,-13.253061965661155,100
387612,-11.765998091505507,100
389345,9.9877738343464,1
390656,-6.005766849829308,100
390776,-28.31325240415222,100
389441,-9.925214593558911,100
390991,-36.59483552843141,100
391103,-14.081610689115747,100
392285,-6.55441323568931,100
392441,-6.445434250983277,100
391299,-42.41416333525982,100
393848,-5.443785201463535,100
392707,-11.493764767537233,100
394792,-18.712759561020977,100
394193,-5.5759931951273645,100
395993,-10.606117865762341,100
397793,-6.267229629804673,100
398305,-9.200413077124969,100
398621,-12.169914962532731,100
397656,-6.365493990737176,100
399694,-12.226911422825959,100
399758,-42.14477460800602,100
400440,-8.402843508976542,100
400468,-10.414577571676704,100
399657,-6.084700140264298,100
400710,-13.701511807688586,100
402759,-42.84507605423118,100
403283,-2.2556836280591064,65
403017,-5.5677463868007475,100
404743,-6.781975653848454,100
406595,-10.143189371315248,100
406790,9.830254304282434,9
406933,-7.926274907840352,100
405894,10.0,1
407632,-32.806947326627856,100
408273,-7.2496013102786865,100
408803,-5.299562617789061,100
408814,-32.36267718469637,100
408261,-9.816604561000712,100
411046,8.014774839295926,17
409637,-22.20927042187526,100
411524,9.946661944435606,4
411480,-6.572378571649774,100
413469,-9.754236429555005,100
414590,-6.015956670752886,100
414969,-17.116110677451964,100
415365,-10.37601254089251,100
414222,10.0,1
415902,10.0,1
416208,-7.007248678626248,100
416469,-16.289118762856226,100
417450,-34.06526932398177,100
417006,-4.097660570417998,100
417754,-11.529742102143823,100
419236,-3.733543194217277,100
420290,-5.027179270518349,100
421724,-4.927557535891272,100
420331,-18.50552488166236,100
422501,-6.923998060914303,100
423275,-7.6743261050682126,100
423943,5.792638671003413,52
423938,-14.564882987105408,100
424251,-16.780341774828315,100
424796,-34.13080113042676,100
423408,-37.1313911891852,100
425780,-42.64086017339401,100
425361,9.947507657318887,4
426105,-23.288844533348797,100
427916,-8.892342996650225,100
428209,-11.06098016304434,100
429329,10.0,1
428186,9.583364404312716,19
431087,-5.17853483778397,100
431184,-4.860474136944184,100
432065,-19.019685922860443,100
432369,9.95950309418991,3
431110,-19.14565096661743,100
432708,-3.4050366323407095,100
433621,-3.0542549201212466,100
434011,-4.873416177443512,100
433454,-4.065837311515186,100
434167,-7.281551241068581,100
436035,-3.0279121654601795,100
436313,10.0,1
437095,9.353605610416452,29
436438,-3.506695040696381,100
438990,-7.258268264467644,100
439640,-5.475780834840488,100
439909,-31.168135234633038,100
440523,-7.570645659461791,100
439732,1.1676720497005704,73
441389,10.0,1
441688,10.0,1
442269,-2.25269907030895,100
441580,-4.4976698615359005,100
441972,-3.9654071627462733,100
443809,-8.181731045950286,100
444502,9.989093296541446,1
445560,10.0,1
444610,-2.7071133847058446,100
447562,-4.1432625576422915,100
447844,-3.6779715049400483,100
448384,-15.519294176582415,100
448986,-11.595029687680285,100
449262,-3.0692489723887544,100
449561,10.0,1
448073,-13.555198537043976,100
450273,-3.1267192389535237,100
449809,-3.166536115354226,100
451596,8.134925163175987,98
450193,-12.384765072096105,100
452222,-3.012183783330529,100
452353,-2.9289747302780635,100
453998,-33.735475518295566,100
456248,-15.195175682279732,100
456251,-3.1851198483325227,100
456254,-7.852288208536128,100
456489,9.05597671084768,30
456618,5.576105213100267,58
457414,-2.696587136238178,100
456044,-2.9501565177597504,100
458205,-5.66904426642566,100
457859,10.0,1
458050,9.900858992400556,7
460264,-3.2061666061085803,100
460315,9.200254945152889,28
462164,-42.853668622750476,100
460629,9.86379995364698,8
463966,-2.8522686056592828,100
464376,-2.831222514163959,100
464471,-6.235466970007641,100
465087,-2.770144059006327,100
465602,-2.6113956544158876,100
465678,-2.920799669137766,100
464359,-39.472721588677096,100
466439,-6.685164061680293,100
465837,-4.073023471220338,100
465991,-2.453672637968717,100
468145,-8.595798559380647,100
468421,-7.843585899077328,100
467769,-3.942740457031304,100
469823,-3.12034010260315,100
472042,-2.9157083221432107,100
472123,-2.65572058655473,100
472715,-3.673356099597839,100
472884,-9.604008170004548,100
473512,-3.0888703378547735,100
473671,9.996876121053043,1
472235,-3.956331483510443,100
473934,10.0,1
474015,-3.2348654093592164,100
474208,9.392037188727251,15
475923,9.893070507583664,6
476588,-41.5301712448576,100
475327,9.415539273265242,31
477128,-3.2372904616898794,100
479965,-2.760100486732499,100
480058,-3.0706768745302204,100
480253,-2.736787462596351,100
480816,-3.9377199285948956,100
481259,10.0,1
481427,-3.04865674946769,100
481864,-2.9383183030171653,100
480247,-2.518700839909895,100
481657,-2.844323508624641,100
483518,-4.8703963055512745,100
482379,-2.7551810411367055,100
482835,-3.1850693993872765,100
484968,-3.155764323121326,100
485630,9.298360789434447,34
487304,-2.8483102455885683,100
487458,-3.00246975963193,100
